warmup_s,sampling_s,n_draws,n_leapfrog_total,n_leapfrog_sampling,divergences,treedepth_hits,stepsize_final,accept_mean,lp_mean,model,variant,rep,chain,wall_batch_s,seed
1.662,1.566,1000,6714,3346,0,0,0.57354553,0.93191271363,-2106.9538423000004,low_dim_gauss_mix,march_native,2,0,3.252,20262819
1.735,1.507,1000,6278,3204,0,0,0.61523937,0.90591462157,-2106.7971526,low_dim_gauss_mix,march_native,2,1,3.252,20262819
1.751,1.449,1000,6248,3094,0,0,0.6238526,0.90408200932,-2106.8502399,low_dim_gauss_mix,march_native,2,2,3.252,20262819
1.553,1.425,1000,6240,3118,0,0,0.61053301,0.9105083521699999,-2106.813145,low_dim_gauss_mix,march_native,2,3,3.252,20262819
