variant,model,rep,wall_batch_s,sampler_s_per_chain,warmup_s,sampling_s,n_leapfrog_total,n_leapfrog_sampling,divergences,div_rate,treedepth_hits,td_rate,accept_mean,ess_bulk_min,ess_bulk_geomean,ess_tail_min,rhat_max,ess_per_sec,ess_per_grad
default,blr,1.0,0.067,0.05725,0.028749999999999998,0.028499999999999998,56550.0,28188.0,0.0,0.0,0.0,0.0,0.9029173514950001,716.677175,1449.265999,1038.806955,1.004862,10332.83953030303,0.012673336427939877
default,bym2_offset_only,1.0,33.972,31.5305,18.987500000000004,12.543,252000.0,126000.0,0.0,0.0,0.0,0.0,0.8714283046824999,351.98917,4541.751007,597.433707,1.013048,9.67641219485375,0.0013967824206349206
default,diamonds,1.0,64.758,61.32575,23.7545,37.57125,3954784.0,1977904.0,0.0,0.0,3486.0,0.8715,0.944862981205,1306.170482,3348.948147,1858.685116,1.002777,20.17002504709843,0.00032518205876612253
default,dogs_hierarchical,1.0,0.82,0.7214999999999999,0.28225,0.45,18056.0,9022.0,0.0,0.0,0.0,0.0,0.9243852590449999,1456.314421,3921.186619,1599.891932,1.003205,1590.4355512195123,0.0752383974478198
default,eight_schools_centered,1.0,0.069,0.051000000000000004,0.025500000000000002,0.02525,61427.0,31002.0,118.0,0.0295,0.0,0.0,0.757417692926684,54.501414,618.770128,23.858413,1.058832,789.8755652173912,0.000839025431817482
default,eight_schools_noncentered,1.0,0.042,0.029249999999999998,0.0105,0.0175,33437.0,16773.0,2.0,0.0005,0.0,0.0,0.8639848716681281,2446.212209,4324.014585,1886.097967,1.003077,58243.14783333332,0.0693354591367508
default,garch11,1.0,0.36,0.33825,0.174,0.16599999999999998,45810.0,23090.0,0.0,0.0,0.0,0.0,0.9212168413128837,1915.982762,2141.075207,2096.09682,1.002799,4795.1400674999995,0.041869810674525214
default,gp_regr,1.0,0.089,0.062,0.02675,0.03175,17786.0,8902.0,0.0,0.0,0.0,0.0,0.90863863754,3504.938025,3968.272959,2796.864824,1.000883,40514.285210526315,0.19706162290565613
default,hier_2pl,1.0,70.126,66.0595,32.047,33.77825,119792.0,59760.0,0.0,0.0,0.0,0.0,0.8709275326275,1946.544531,6373.998278,1863.75691,1.007223,28.75632700063524,0.01577324428724232
default,kidscore_momiq,1.0,0.38,0.3655,0.21825,0.14350000000000002,101540.0,50598.0,0.0,0.0,0.0,0.0,0.9363830546974999,1256.05895,1403.501548,1194.747439,1.002969,3293.3980676691726,0.012370090112271028
default,kronecker_gp,1.0,731.335,699.82275,341.97375,357.849,4084270.0,2041612.0,19.0,0.00475,3981.0,0.99525,0.78120346833225,944.342481,1848.728976,1241.718117,1.009849,1.2912584260291111,0.0002312762876670359
default,logmesquite_logvash,1.0,0.239,0.20950000000000002,0.09875,0.10675,193586.0,96524.0,0.0,0.0,0.0,0.0,0.93432579489,1434.419916,1841.364514,1699.577808,1.004526,6001.756970711298,0.007485254893756753
