warmup_s,sampling_s,n_draws,n_leapfrog_total,n_leapfrog_sampling,divergences,treedepth_hits,stepsize_final,accept_mean,lp_mean,model,variant,rep,chain,wall_batch_s,seed
0.026,0.028,1000,15208,7508,0,0,0.1090048,0.90773514445,-164.51009090000002,blr,march_native,0,0,0.078,20260819
0.043,0.029,1000,12844,6640,0,0,0.11999902,0.87695047703,-164.63472202,blr,march_native,0,1,0.078,20260819
0.026,0.029,1000,14324,7324,0,0,0.10746623,0.9111339746899999,-164.56692474,blr,march_native,0,2,0.078,20260819
0.025,0.03,1000,14580,7380,0,0,0.10543794,0.91071825992,-164.6369891,blr,march_native,0,3,0.078,20260819
